DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,,,,
3/11/2014,"2,593,768","2,593,768","2,593,768","2,593,768",1,1,,,,
3/12/2014,"2,593,448","2,593,448","2,593,448","2,593,448",1,1,,,,
3/13/2014,"2,590,993","2,590,993","2,590,993","2,590,993",1,1,,,,
3/14/2014,"2,591,357","2,591,357","2,591,357","2,591,357",1,1,,,,
3/17/2014,"2,588,229","2,588,229","2,588,229","2,588,229",1,1,,,,
3/18/2014,"2,587,369","2,587,369","2,587,369","2,587,369",1,1,,,,
3/19/2014,"2,588,263","2,588,263","2,588,263","2,588,263",1,1,,,,
3/20/2014,"2,587,188","2,587,188","2,587,188","2,587,188",1,1,,,,
3/21/2014,"2,585,532","2,585,532","2,585,532","2,585,532",1,1,,,,
3/24/2014,"2,581,481","2,581,481","2,581,481","2,581,481",1,1,,,,
3/25/2014,"2,580,331","2,580,331","2,580,331","2,580,331",1,1,,,,
3/26/2014,"2,578,942","2,578,942","2,578,942","2,578,942",1,1,,,,
3/27/2014,"2,587,358","2,587,358","2,587,358","2,587,358",1,1,,,,
3/28/2014,"2,591,914","2,591,914","2,591,914","2,591,914",1,1,,,,
3/31/2014,"2,585,974","2,585,974","2,585,974","2,585,974",1,1,,,,
4/1/2014,"2,589,430","2,589,430","2,589,430","2,589,430",1,1,,,,
4/2/2014,"2,592,899","2,592,899","2,592,899","2,592,899",1,1,,,,
4/3/2014,"2,589,269","2,589,269","2,589,269","2,589,269",1,1,,,,
4/4/2014,"2,591,227","2,591,227","2,591,227","2,591,227",1,1,,,,
4/7/2014,"2,588,512","2,588,512","2,588,512","2,588,512",1,1,,,,
4/8/2014,"2,592,487","2,592,487","2,592,487","2,592,487",1,1,,,,
4/9/2014,"2,596,174","2,596,174","2,596,174","2,596,174",1,1,,,,
4/10/2014,"2,595,924","2,595,924","2,595,924","2,595,924",1,1,,,,
4/11/2014,"2,589,335","2,589,335","2,589,335","2,589,335",1,1,,,,
4/14/2014,"2,587,140","2,587,140","2,587,140","2,587,140",1,1,,,,
4/15/2014,"2,578,027","2,578,027","2,578,027","2,578,027",1,1,,,,
4/16/2014,"2,577,544","2,577,544","2,577,544","2,577,544",1,1,,,,
4/17/2014,"2,584,020","2,584,020","2,584,020","2,584,020",1,1,,,,
4/18/2014,"2,582,220","2,582,220","2,582,220","2,582,220",1,1,,,,
4/21/2014,"2,585,150","2,585,150","2,585,150","2,585,150",1,1,,,,
4/22/2014,"2,578,885","2,578,885","2,578,885","2,578,885",1,1,,,,
4/23/2014,"2,577,285","2,577,285","2,577,285","2,577,285",1,1,,,,
4/24/2014,"2,576,185","2,576,185","2,576,185","2,576,185",1,1,,,,
4/25/2014,"2,573,785","2,573,785","2,573,785","2,573,785",1,1,,,,
4/28/2014,"2,574,245","2,574,245","2,574,245","2,574,245",1,1,,,,
4/29/2014,"2,569,998","2,569,998","2,569,998","2,569,998",1,1,,,,
4/30/2014,"2,572,323","2,572,323","2,572,323","2,572,323",1,1,,,,
5/1/2014,"2,572,233","2,572,233","2,572,233","2,572,233",1,1,,,,
5/2/2014,"2,576,123","2,576,123","2,576,123","2,576,123",1,1,,,,
5/5/2014,"2,580,938","2,580,938","2,580,938","2,580,938",1,1,,,,
5/6/2014,"2,584,333","2,584,333","2,584,333","2,584,333",1,1,,,,
5/7/2014,"2,586,563","2,586,563","2,586,563","2,586,563",1,1,,,,
5/8/2014,"2,583,797","2,583,797","2,583,797","2,583,797",1,1,,,,
5/9/2014,"2,578,072","2,578,072","2,578,072","2,578,072",1,1,,,,
5/12/2014,"2,576,202","2,576,202","2,576,202","2,576,202",1,1,,,,
5/13/2014,"2,573,716","2,573,716","2,573,716","2,573,716",1,1,,,,
5/14/2014,"2,571,643","2,571,643","2,571,643","2,571,643",1,1,,,,
5/15/2014,"2,570,304","2,570,304","2,570,304","2,570,304",1,1,,,,
5/16/2014,"2,569,204","2,569,204","2,569,204","2,569,204",1,1,,,,
5/19/2014,"2,566,309","2,566,309","2,566,309","2,566,309",1,1,,,,
5/20/2014,"2,565,813","2,565,813","2,565,813","2,565,813",1,1,,,,
5/21/2014,"2,565,312","2,565,312","2,565,312","2,565,312",1,1,,,,
5/22/2014,"2,558,983","2,558,983","2,558,983","2,558,983",1,1,,,,
5/23/2014,"2,561,298","2,561,298","2,561,298","2,561,298",1,1,,,,
5/27/2014,"2,559,138","2,559,138","2,559,138","2,559,138",1,1,,,,
5/28/2014,"2,558,114","2,558,114","2,558,114","2,558,114",1,1,,,,
5/29/2014,"2,558,744","2,558,744","2,558,744","2,558,744",1,1,,,,
5/30/2014,"2,545,704","2,545,704","2,545,704","2,545,704",1,1,,,,
6/2/2014,"2,546,349","2,546,349","2,546,349","2,546,349",1,1,,,,
6/3/2014,"2,546,349","2,546,349","2,546,349","2,546,349",1,1,,,,
6/4/2014,"2,543,078","2,543,078","2,543,078","2,543,078",1,1,,,,
6/5/2014,"2,542,528","2,542,528","2,542,528","2,542,528",1,1,,,,
6/6/2014,"2,539,645","2,539,645","2,539,645","2,539,645",1,1,,,,
6/9/2014,"2,539,645","2,539,645","2,539,645","2,539,645",1,1,,,,
6/10/2014,"2,540,407","2,540,407","2,540,407","2,540,407",1,1,,,,
6/11/2014,"2,537,569","2,537,569","2,537,569","2,537,569",1,1,,,,
6/12/2014,"2,536,819","2,536,819","2,536,819","2,536,819",1,1,,,,
6/13/2014,"2,533,984","2,533,984","2,533,984","2,533,984",1,1,,,,
6/16/2014,"2,529,672","2,529,672","2,529,672","2,529,672",1,1,,,,
6/17/2014,"2,527,107","2,527,107","2,527,107","2,527,107",1,1,,,,
6/18/2014,"2,522,182","2,522,182","2,522,182","2,522,182",1,1,,,,
6/19/2014,"2,516,899","2,516,899","2,516,899","2,516,899",1,1,,,,
6/20/2014,"2,515,978","2,515,978","2,515,978","2,515,978",1,1,,,,
6/23/2014,"2,518,683","2,518,683","2,518,683","2,518,683",1,1,,,,
6/24/2014,"2,523,393","2,523,393","2,523,393","2,523,393",1,1,,,,
6/25/2014,"2,523,118","2,523,118","2,523,118","2,523,118",1,1,,,,
